case_number,case_id,subject,review_status,human_product_area_l1,human_feature_workflow_l1,issue_type
SYN-001,synthetic-001,Move employee to another location,Human_Reviewed,Staff Management,Staff / Site Transfer,Transfer Request
SYN-002,synthetic-002,User locked out after password reset,Human_Reviewed,Login / Access,Password Reset & Lockout,Unexpected Behavior
SYN-003,synthetic-003,Published schedule is not visible,Human_Reviewed,Scheduling,Schedule Visibility,Other
SYN-004,synthetic-004,Question about invoice charges,Human_Reviewed,Reports,Billing & Payments,Change Request
SYN-005,synthetic-005,Unusual account administration question,Human_Reviewed,Billing & Subscription,Other,How-To / Question
SYN-006,synthetic-006,Grant manager permissions,Human_Reviewed,Staff Management,Permission & Access Grant,Access Request
SYN-007,synthetic-007,Activation email was not received,Human_Reviewed,Login / Access,Account Activation,Billing Inquiry
SYN-008,synthetic-008,Employee cannot release a shift,Human_Reviewed,Scheduling,Shift Trade / Release,Transfer Request
SYN-009,synthetic-009,How to export a report,Human_Reviewed,Reports,Report Building,Unexpected Behavior
SYN-010,synthetic-010,Move employee to another location,Human_Reviewed,Billing & Subscription,Staff / Site Transfer,Other
SYN-011,synthetic-011,User locked out after password reset,Human_Reviewed,Staff Management,Password Reset & Lockout,Change Request
SYN-012,synthetic-012,Published schedule is not visible,Human_Reviewed,Login / Access,Schedule Visibility,How-To / Question
SYN-013,synthetic-013,Question about invoice charges,Human_Reviewed,Scheduling,Billing & Payments,Access Request
SYN-014,synthetic-014,Unusual account administration question,Human_Reviewed,Reports,Other,Billing Inquiry
SYN-015,synthetic-015,Grant manager permissions,Human_Reviewed,Billing & Subscription,Permission & Access Grant,Transfer Request
SYN-016,synthetic-016,Activation email was not received,Human_Reviewed,Staff Management,Account Activation,Unexpected Behavior
SYN-017,synthetic-017,Employee cannot release a shift,Human_Reviewed,Login / Access,Shift Trade / Release,Other
SYN-018,synthetic-018,How to export a report,Human_Reviewed,Scheduling,Report Building,Change Request
SYN-019,synthetic-019,Move employee to another location,Human_Reviewed,Reports,Staff / Site Transfer,How-To / Question
SYN-020,synthetic-020,User locked out after password reset,Human_Reviewed,Billing & Subscription,Password Reset & Lockout,Access Request
SYN-021,synthetic-021,Published schedule is not visible,Human_Reviewed,Staff Management,Schedule Visibility,Billing Inquiry
SYN-022,synthetic-022,Question about invoice charges,Human_Reviewed,Login / Access,Billing & Payments,Transfer Request
SYN-023,synthetic-023,Unusual account administration question,Human_Reviewed,Scheduling,Other,Unexpected Behavior
SYN-024,synthetic-024,Grant manager permissions,Human_Reviewed,Reports,Permission & Access Grant,Other
SYN-025,synthetic-025,Activation email was not received,Human_Reviewed,Billing & Subscription,Account Activation,Change Request
